_______________________________________________________________________________________________________________________________________________________________________________________

Gang Tournament 2 Results
Number of Strategies: 10   Tournament Iterations: 1   Game Iterations: 20   Spy Chance: 0%
_______________________________________________________________________________________________________________________________________________________________________________________

                                               Gang Member Strategies

Gang Name      Total Score    Member 1       Member 2       Member 3       Member 4       Member 5       
Gang 75        9966.5         Strategy3      Strategy7      Strategy3      Strategy6      Strategy6      
Gang 76        9755.5         Strategy1      Strategy4      Strategy4      Strategy10     Strategy2      
Gang 77        9244.5         Strategy9      Strategy3      Strategy2      Strategy8      Strategy3      
Gang 78        9546.5         Strategy6      Strategy6      Strategy8      Strategy9      Strategy8      
Gang 79        9425           Strategy1      Strategy5      Strategy8      Strategy6      Strategy10     
Gang 80        9405           Strategy3      Strategy3      Strategy6      Strategy8      Strategy1      
Gang 81        10164          Strategy2      Strategy9      Strategy2      Strategy6      Strategy5      
Gang 82        9580.5         Strategy5      Strategy1      Strategy8      Strategy7      Strategy5      
Gang 83        9839.5         Strategy7      Strategy5      Strategy5      Strategy3      Strategy1      
Gang 84        9561           Strategy9      Strategy1      Strategy3      Strategy8      Strategy1      
Gang 85        9728           Strategy6      Strategy1      Strategy10     Strategy6      Strategy7      
Gang 86        9759           Strategy2      Strategy7      Strategy7      Strategy9      Strategy1      
Gang 87        9462.5         Strategy10     Strategy4      Strategy5      Strategy10     Strategy8      
Gang 88        9430.5         Strategy4      Strategy8      Strategy1      Strategy4      Strategy2      
Gang 89        10169.5        Strategy10     Strategy2      Strategy6      Strategy5      Strategy2      
Gang 90        9629           Strategy2      Strategy10     Strategy4      Strategy7      Strategy8      
Gang 91        9709.5         Strategy6      Strategy5      Strategy8      Strategy7      Strategy2      
Gang 92        9833           Strategy4      Strategy7      Strategy7      Strategy5      Strategy4      
Gang 93        9919           Strategy5      Strategy5      Strategy7      Strategy3      Strategy7      
Gang 94        9965           Strategy10     Strategy7      Strategy9      Strategy5      Strategy4      
Gang 95        9406           Strategy1      Strategy8      Strategy4      Strategy2      Strategy2      
Gang 96        9654           Strategy1      Strategy6      Strategy9      Strategy5      Strategy5      
Gang 97        9706           Strategy7      Strategy9      Strategy2      Strategy7      Strategy8      
Gang 98        10355          Strategy2      Strategy9      Strategy5      Strategy5      Strategy6      
Gang 99        9679.5         Strategy6      Strategy6      Strategy5      Strategy6      Strategy1      
Gang 100       9989.5         Strategy7      Strategy6      Strategy6      Strategy9      Strategy10     
Gang 101       9456           Strategy6      Strategy8      Strategy5      Strategy2      Strategy6      
Gang 102       9624           Strategy3      Strategy7      Strategy6      Strategy8      Strategy9      
Gang 103       9229           Strategy10     Strategy6      Strategy8      Strategy2      Strategy3      
Gang 104       9836           Strategy8      Strategy6      Strategy4      Strategy8      Strategy8      
Gang 105       10163          Strategy6      Strategy6      Strategy3      Strategy5      Strategy9      
Gang 106       9929           Strategy9      Strategy4      Strategy10     Strategy9      Strategy7      
Gang 107       10163          Strategy3      Strategy10     Strategy3      Strategy6      Strategy4      
Gang 108       9457.5         Strategy8      Strategy6      Strategy5      Strategy6      Strategy2      
Gang 109       9703           Strategy7      Strategy6      Strategy9      Strategy5      Strategy8      
Gang 110       9978           Strategy5      Strategy3      Strategy1      Strategy1      Strategy3      
Gang 111       9773.5         Strategy9      Strategy2      Strategy1      Strategy6      Strategy6      
Gang 112       9753.5         Strategy7      Strategy7      Strategy10     Strategy1      Strategy3      
Gang 113       9690.5         Strategy1      Strategy6      Strategy2      Strategy5      Strategy6      
Gang 114       9229.5         Strategy8      Strategy9      Strategy3      Strategy2      Strategy9      
Gang 115       9244           Strategy10     Strategy9      Strategy8      Strategy2      Strategy3      
Gang 116       9211.5         Strategy4      Strategy8      Strategy6      Strategy6      Strategy4      
Gang 117       10182          Strategy9      Strategy10     Strategy10     Strategy4      Strategy2      
Gang 118       9908.5         Strategy6      Strategy7      Strategy2      Strategy6      Strategy4      
Gang 119       9640.5         Strategy1      Strategy5      Strategy6      Strategy4      Strategy6      
Gang 120       9693.5         Strategy8      Strategy2      Strategy8      Strategy1      Strategy3      
Gang 121       9485.5         Strategy8      Strategy1      Strategy5      Strategy5      Strategy9      
Gang 122       10347.5        Strategy5      Strategy5      Strategy6      Strategy10     Strategy3      
Gang 123       9799.5         Strategy5      Strategy7      Strategy1      Strategy3      Strategy10     
Gang 124       9818.5         Strategy7      Strategy1      Strategy9      Strategy2      Strategy10     
Gang 125       9521           Strategy8      Strategy5      Strategy2      Strategy5      Strategy9      
Gang 126       9230           Strategy3      Strategy10     Strategy4      Strategy8      Strategy4      
Gang 127       9786.5         Strategy10     Strategy2      Strategy1      Strategy4      Strategy10     
Gang 128       9419           Strategy4      Strategy6      Strategy1      Strategy3      Strategy8      
Gang 129       9607.5         Strategy7      Strategy6      Strategy10     Strategy3      Strategy8      
Gang 130       10151          Strategy10     Strategy9      Strategy2      Strategy4      Strategy2      
Gang 131       9770.5         Strategy1      Strategy5      Strategy7      Strategy1      Strategy5      
Gang 132       9639           Strategy6      Strategy10     Strategy7      Strategy6      Strategy8      
Gang 133       10131          Strategy10     Strategy10     Strategy10     Strategy4      Strategy9      
Gang 134       9929           Strategy7      Strategy2      Strategy5      Strategy10     Strategy4      
Gang 135       10149          Strategy10     Strategy9      Strategy4      Strategy4      Strategy4      
Gang 136       9515           Strategy5      Strategy6      Strategy8      Strategy10     Strategy5      
Gang 137       9247           Strategy2      Strategy9      Strategy3      Strategy2      Strategy8      
Gang 138       9737           Strategy9      Strategy3      Strategy1      Strategy2      Strategy2      
Gang 139       9805           Strategy5      Strategy2      Strategy7      Strategy7      Strategy9      
Gang 140       9234           Strategy10     Strategy9      Strategy2      Strategy8      Strategy6      
Gang 141       9896.5         Strategy10     Strategy9      Strategy9      Strategy1      Strategy1      
Gang 142       9843.5         Strategy7      Strategy1      Strategy9      Strategy3      Strategy5      
Gang 143       9686.5         Strategy4      Strategy3      Strategy1      Strategy8      Strategy8      
Gang 144       9768           Strategy1      Strategy2      Strategy9      Strategy2      Strategy10     
Gang 145       9782.5         Strategy1      Strategy9      Strategy3      Strategy9      Strategy3      
Gang 146       9449           Strategy5      Strategy6      Strategy1      Strategy2      Strategy8      
Gang 147       10164.5        Strategy10     Strategy5      Strategy3      Strategy9      Strategy3      
Gang 148       9800.5         Strategy2      Strategy2      Strategy1      Strategy4      Strategy6      
Gang 149       9925.5         Strategy3      Strategy7      Strategy3      Strategy5      Strategy10     
Gang 150       9970.5         Strategy10     Strategy9      Strategy10     Strategy3      Strategy7      
Gang 151       9690           Strategy5      Strategy9      Strategy6      Strategy1      Strategy9      
Gang 152       10180          Strategy5      Strategy10     Strategy3      Strategy3      Strategy3      
Gang 153       9846.5         Strategy9      Strategy7      Strategy8      Strategy8      Strategy7      
